gene	probe	Basal_TNBC_avg	LumA_TNBC_Avg	LumB_TNBC_Avg
POLDIP2	ENSG00000004142.10	5.754370647	5.240731633	5.824710411
PLXND1	ENSG00000004399.11	3.775094698	3.936960403	3.929386883
AK2	ENSG00000004455.15	4.829969029	4.326131985	4.788675242
CD38	ENSG00000004468.11	1.259485562	0.826916879	0.979091626
FKBP4	ENSG00000004478.7	5.748219204	5.543417751	6.873767295
KDM1A	ENSG00000004487.14	4.809856976	4.272331564	4.69058518
RBM6	ENSG00000004534.13	3.228909202	3.860325193	3.143300007
CAMKK1	ENSG00000004660.13	1.281695278	1.441671554	1.326886301
RECQL	ENSG00000004700.14	3.223854319	3.11094079	3.2919185
CCDC132	ENSG00000004766.14	1.883807165	2.961393227	1.773449955
HSPB6	ENSG00000004776.10	1.69410825	4.393723764	2.640727921
ARHGAP33	ENSG00000004777.17	1.861279017	1.901025339	1.873172798
NDUFAB1	ENSG00000004779.8	5.150129956	4.83606763	4.756365019
PDK4	ENSG00000004799.7	2.192499937	4.819640145	3.955258672
SLC22A16	ENSG00000004809.12	0.278671736	0.117280439	0.034905127
ZMYND10	ENSG00000004838.12	0.48738112	1.248092169	2.521129171
ABCB5	ENSG00000004846.15	0.031091902	0.231064298	0.039040445
ARX	ENSG00000004848.6	0.19900369	0.208888909	0.041052131
SLC25A13	ENSG00000004864.12	3.531773989	3.08372773	2.72667774
ST7	ENSG00000004866.17	2.497017667	3.071295025	2.266991286
CDC27	ENSG00000004897.10	3.496968564	3.522789952	4.037607624
SLC4A1	ENSG00000004939.12	0.015606122	0.00456099	0.012637098
CALCR	ENSG00000004948.12	0.057577962	0.49121374	0.088687557
HCCS	ENSG00000004961.13	3.644493274	3.457416538	3.700219898
DVL2	ENSG00000004975.10	2.95028141	2.946009009	2.887699162
PRSS22	ENSG00000005001.8	2.4900081	2.489412647	2.11709695
UPF1	ENSG00000005007.11	4.160779394	4.046943531	4.428735642
SKAP2	ENSG00000005020.11	2.667063783	3.676313274	2.216172827
SLC25A5	ENSG00000005022.5	7.650152925	7.007208599	7.300636923
CCDC109B	ENSG00000005059.14	2.964486916	2.798538419	2.961082891
HOXA11	ENSG00000005073.5	0.716752732	0.197562833	0.063466104
POLR2J	ENSG00000005075.14	4.735288937	4.698146076	3.98909527
DHX33	ENSG00000005100.11	2.85251545	2.584729998	2.942066032
MEOX1	ENSG00000005102.11	1.094725777	3.166732882	1.905969453
THSD7A	ENSG00000005108.14	0.461667566	1.333798095	0.790504738
LIG3	ENSG00000005156.10	2.177265147	1.823266526	2.440401706
RPAP3	ENSG00000005175.8	2.796429843	3.167795229	3.327712058
ACSM3	ENSG00000005187.10	0.74207267	1.190948126	0.2151645
AC004381.6	ENSG00000005189.18	1.496813908	2.099388957	1.431458955
CIAPIN1	ENSG00000005194.13	3.999158511	3.518441478	3.298262503
SPPL2B	ENSG00000005206.15	2.609214027	2.531321232	2.597080769
FAM214B	ENSG00000005238.18	2.100609911	2.092769074	2.118122063
COPZ2	ENSG00000005243.8	2.60440611	3.211169753	2.021932502
PRKAR2B	ENSG00000005249.11	3.043802564	3.930406267	3.581885463
MSL3	ENSG00000005302.16	3.022917531	2.670362245	2.59392071
CREBBP	ENSG00000005339.11	3.094970994	3.39084231	3.348941415
BZRAP1	ENSG00000005379.14	1.370163618	1.676329268	1.670862899
MPO	ENSG00000005381.7	0.164621173	0.079941606	0.198456451
PON1	ENSG00000005421.7	0.190704805	0.05468319	1.446240514
GCFC2	ENSG00000005436.12	2.613037127	2.810243066	2.579199763
WDR54	ENSG00000005448.15	2.157810462	2.054424218	2.79839172
CROT	ENSG00000005469.10	1.515090146	3.440679735	2.228932802
ABCB4	ENSG00000005471.14	0.254141216	0.273487896	0.18817432
KMT2E	ENSG00000005483.18	3.304755401	3.933048097	3.663911973
RHBDD2	ENSG00000005486.15	5.150075569	5.350305235	5.589295221
SOX8	ENSG00000005513.9	2.047583882	0.597585976	0.138129567
IBTK	ENSG00000005700.13	2.819223355	3.513229262	3.620874903
ZNF195	ENSG00000005801.15	2.431978475	2.852747649	2.13147345
MYCBP2	ENSG00000005810.16	2.355052999	2.945491397	3.046175685
FBXL3	ENSG00000005812.9	2.809034223	4.430534513	3.595582977
ITGAL	ENSG00000005844.16	2.127471158	1.93037273	3.162099397
PDK2	ENSG00000005882.10	1.86266913	2.588283728	2.387392273
ITGA3	ENSG00000005884.16	2.40043732	3.61223911	3.652586664
ZFX	ENSG00000005889.14	2.515776949	3.281737609	3.07309146
LAMP2	ENSG00000005893.14	5.685811066	5.583100917	5.992063721
ITGA2B	ENSG00000005961.16	0.307018149	0.150533163	0.487039424
ASB4	ENSG00000005981.11	0.106865668	0.167199965	0.076112467
GDE1	ENSG00000006007.10	4.112079619	4.554089465	4.747504603
C19orf60	ENSG00000006015.16	2.731076718	2.154446842	2.572794659
CRLF1	ENSG00000006016.9	1.833972232	2.251977448	2.699949731
OSBPL7	ENSG00000006025.10	1.092800375	1.526845261	1.306602891
TMEM98	ENSG00000006042.10	2.938134367	3.96923591	3.911417629
YBX2	ENSG00000006047.11	1.32131382	0.63854583	1.023911123
KRT33A	ENSG00000006059.3	0.18787902	0.018134857	0.217910723
MAP3K14	ENSG00000006062.12	2.067111675	2.520296624	2.933288043
ABCC8	ENSG00000006071.10	0.071250888	0.60519651	1.795311539
CACNG3	ENSG00000006116.3	0.005661927	0.003983289	0.005436152
TMEM132A	ENSG00000006118.13	4.215652765	3.024228048	3.393952942
AP2B1	ENSG00000006125.15	4.966923998	5.30847234	5.971559111
TAC1	ENSG00000006128.10	0.07551241	0.904149167	1.567881439
ZNF263	ENSG00000006194.9	2.563937106	3.053266772	2.766020216
CX3CL1	ENSG00000006210.6	4.017332817	5.178541998	3.397985581
SPATA20	ENSG00000006282.18	2.493906383	3.309880882	3.477842601
CACNA1G	ENSG00000006283.16	0.134992575	0.441535603	0.243299769
TNFRSF12A	ENSG00000006327.12	4.935787235	3.589820164	4.470757033
DLX6	ENSG00000006377.10	0.750096276	0.095538067	0.009705508
MAP3K9	ENSG00000006432.14	1.257519321	1.302219177	1.316390941
RALA	ENSG00000006451.6	4.582055969	4.682864656	4.685391996
BAIAP2L1	ENSG00000006453.12	3.710310201	2.814458773	3.015389386
KDM7A	ENSG00000006459.9	2.354817521	2.754740579	2.434746418
ETV1	ENSG00000006468.12	1.052041191	2.049004751	1.07705878
AGK	ENSG00000006530.14	2.734042204	2.876384251	2.060265829
ALDH3B1	ENSG00000006534.14	1.708445267	2.245798577	1.391980776
TTC22	ENSG00000006555.9	2.189572211	1.899122472	0.913784795
PHTF2	ENSG00000006576.15	2.35830277	2.284539917	2.657330774
CCL26	ENSG00000006606.7	0.620886923	0.513806377	0.374078296
FARP2	ENSG00000006607.12	1.774381869	1.754106458	2.09764761
USH1C	ENSG00000006611.14	0.176535019	0.072339571	0.108328381
GGCT	ENSG00000006625.16	5.515285145	5.673455805	6.008060494
DBF4	ENSG00000006634.6	2.657781422	2.2396784	2.364762972
TBXA2R	ENSG00000006638.10	0.922408688	1.123323846	1.039867115
IFRD1	ENSG00000006652.12	3.340078075	3.21513005	1.99262693
LGALS14	ENSG00000006659.11	0.077201796	0.189864235	0.027486811
COX10	ENSG00000006695.9	2.736550054	2.56394402	2.542926829
GTF2IRD1	ENSG00000006704.9	2.703308362	2.579851404	3.322252237
PAF1	ENSG00000006712.13	4.77386457	4.669259314	5.223721478
VPS41	ENSG00000006715.14	2.904544673	3.403808888	3.330329712
ARHGAP44	ENSG00000006740.15	0.907510061	1.559586961	1.135491969
ELAC2	ENSG00000006744.17	3.636230332	3.355691259	3.593440766
SCIN	ENSG00000006747.13	0.494420355	0.427758941	0.280856088
ARSD	ENSG00000006756.14	3.334520295	4.513719558	4.125339948
PNPLA4	ENSG00000006757.10	2.205635259	3.507463951	3.061314707
MYH13	ENSG00000006788.11	0.075761769	0.082731078	0.040360486
ADIPOR2	ENSG00000006831.9	4.240029453	4.466018126	5.14732331
CDKL3	ENSG00000006837.10	0.291443653	0.432891261	0.497047883
UPP2	ENSG00000007001.11	0.090972913	0.296714011	0.098310719
PRSS21	ENSG00000007038.9	1.112526328	1.510256877	1.680977659
MARK4	ENSG00000007047.13	2.952352729	2.486894809	3.057665403
PROM1	ENSG00000007062.10	4.643627327	4.081510705	3.519525611
CCDC124	ENSG00000007080.9	5.040812558	3.94470323	4.493879062
CEACAM21	ENSG00000007129.16	0.770204234	1.126020884	0.788519931
PAFAH1B1	ENSG00000007168.11	4.10080163	4.469316217	4.302702967
NOS2	ENSG00000007171.15	0.34393207	0.145481421	0.133491464
DNAH9	ENSG00000007174.16	0.027644955	0.08506449	0.102232518
KIAA0100	ENSG00000007202.13	4.202130161	4.068622304	4.62811333
SLC13A2	ENSG00000007216.13	0.511471905	1.23404667	1.263986866
GAS7	ENSG00000007237.17	1.884877142	2.395113249	2.218312775
TRAPPC6A	ENSG00000007255.9	4.343228331	4.351951138	4.305805035
MATK	ENSG00000007264.12	1.209392754	0.573748646	0.672780488
CEACAM7	ENSG00000007306.13	0.076366104	0.939072877	0.243764126
CD79B	ENSG00000007312.11	2.12609668	2.051529885	1.444326216
SCN4A	ENSG00000007314.10	0.187769423	0.695598731	0.098217809
ST7L	ENSG00000007341.17	1.282865872	1.564821541	1.344043537
TKTL1	ENSG00000007350.15	0.097595111	0.035871007	0.032750659
PAX6	ENSG00000007372.19	0.610572291	0.74778607	0.178182689
RPUSD1	ENSG00000007376.6	3.54551406	2.733122812	2.955859387
RHBDF1	ENSG00000007384.14	3.173649611	3.72729677	2.275545327
LUC7L	ENSG00000007392.15	2.599825558	3.054727838	2.792299179
CACNA2D2	ENSG00000007402.10	0.486930921	1.749594303	1.911959786
BAIAP3	ENSG00000007516.12	0.519183367	1.400922628	1.178579214
TSR3	ENSG00000007520.3	4.91929973	4.37191958	4.432653426
PIGQ	ENSG00000007541.13	2.788031097	3.105577067	2.958774948
CRAMP1L	ENSG00000007545.14	1.907267782	2.31958617	1.760589041
TEAD3	ENSG00000007866.17	4.134709745	4.202564146	3.835756041
SELE	ENSG00000007908.14	1.549406799	2.081287021	2.431540001
DNAJC11	ENSG00000007923.14	2.978252787	2.719470453	3.197661363
FMO3	ENSG00000007933.11	1.196050234	0.947253161	0.937593212
MYLIP	ENSG00000007944.13	3.266808113	5.092255418	3.357358801
NOX1	ENSG00000007952.16	0.486843424	0.515105738	0.569193644
E2F2	ENSG00000007968.6	2.13620171	0.862403243	2.595056121
PSMB1	ENSG00000008018.8	6.201797769	5.966645543	6.140123964
SYN1	ENSG00000008056.11	0.681198248	0.334568614	2.327235111
JARID2	ENSG00000008083.12	3.246458187	2.769407273	2.922734141
CDKL5	ENSG00000008086.9	1.297722002	1.633945766	1.126502777
CAMK1G	ENSG00000008118.8	0.287791645	0.135757255	0.144880376
CDK11A	ENSG00000008128.21	1.039363927	1.15343413	1.073090298
NADK	ENSG00000008130.14	3.453149189	3.435024438	3.527151837
TFAP2B	ENSG00000008196.11	0.746503203	4.786634833	4.503839043
TFAP2D	ENSG00000008197.4	0.030778466	0	0
DLEC1	ENSG00000008226.18	0.17796495	0.191474162	0.118795768
CYTH3	ENSG00000008256.14	3.040583241	3.488620141	2.296092501
ADAM22	ENSG00000008277.13	0.563720697	0.8573823	1.124595942
SYPL1	ENSG00000008282.6	5.474509043	6.573649212	5.041415719
CYB561	ENSG00000008283.14	4.666897123	4.785614507	5.313975645
SPAG9	ENSG00000008294.19	3.092735593	3.32823885	3.635580353
CELSR3	ENSG00000008300.13	0.822501044	0.249116881	1.356107425
AASS	ENSG00000008311.13	0.917414464	1.986023593	1.063298015
PLEKHG6	ENSG00000008323.14	2.526752749	1.973223211	2.090318513
SS18L2	ENSG00000008324.9	3.77514542	4.077402427	3.889976794
MPND	ENSG00000008382.14	3.051619962	2.956718017	3.213495262
MGST1	ENSG00000008394.11	4.417530857	4.892633532	4.795615443
CRY1	ENSG00000008405.10	2.589318736	3.262913924	3.47706714
PGLYRP1	ENSG00000008438.4	0.11991365	0.080939979	0.058523818
NFIX	ENSG00000008441.15	5.04821588	4.603315667	3.610764843
ST3GAL1	ENSG00000008513.13	3.322269459	3.33826894	4.611980673
MMP25	ENSG00000008516.15	1.027222883	0.882262443	1.522659894
IL32	ENSG00000008517.15	4.372646579	2.852173001	3.592235153
PKD1	ENSG00000008710.16	1.958994251	2.254789998	2.321077703
MAPK8IP2	ENSG00000008735.13	1.71935982	1.297625826	3.700947358
MED24	ENSG00000008838.16	3.607343002	3.260158519	3.875602502
RHOBTB2	ENSG00000008853.15	1.659740539	2.19137394	1.785863815
HEATR5B	ENSG00000008869.10	2.600377706	3.048576924	3.045819267
SEC62	ENSG00000008952.15	4.267755344	5.149401124	5.05036946
RPS20	ENSG00000008988.8	8.306355311	8.265007649	7.554442198
CSDE1	ENSG00000009307.14	7.037835324	7.253570762	6.744387633
UBE3C	ENSG00000009335.16	3.802404823	3.73233347	3.648535081
REV3L	ENSG00000009413.14	1.891753014	2.096567418	2.636635319
TENM1	ENSG00000009694.12	0.22754529	0.224091184	0.068719607
PAX7	ENSG00000009709.10	0.16302014	1.442622768	0.048583736
MASP2	ENSG00000009724.15	0.256806516	0.775146573	0.439562001
IYD	ENSG00000009765.13	0.033154836	0.373570824	0.123119446
FAM76A	ENSG00000009780.14	2.284082333	2.639022531	2.302591363
TRAF3IP3	ENSG00000009790.13	1.459062778	0.879826215	1.144828333
POMT2	ENSG00000009830.10	1.643585946	1.861528359	1.875083744
VTA1	ENSG00000009844.14	3.180556064	3.237223166	3.38843735
MLXIPL	ENSG00000009950.14	0.365469115	0.548923794	0.391058806
BAZ1B	ENSG00000009954.9	4.663558035	4.436372691	5.181922311
RANBP9	ENSG00000010017.12	4.442861812	4.508155727	4.196114778
ETV7	ENSG00000010030.12	2.324430225	0.851653688	1.948617403
SPRTN	ENSG00000010072.14	2.130967737	2.128397038	2.286034629
METTL13	ENSG00000010165.18	4.113403773	3.700747632	4.055316134
DYRK4	ENSG00000010219.12	2.063558284	2.147250809	1.81368467
ZNF207	ENSG00000010244.15	3.415164914	3.447468077	3.574051146
UQCRC1	ENSG00000010256.9	5.512022047	5.210436539	4.787207067
STARD3NL	ENSG00000010270.12	2.831473964	3.297591835	3.257995421
CD9	ENSG00000010278.10	6.615489467	7.286938231	6.443273646
HHATL	ENSG00000010282.13	0.047679433	0.133600395	0.078352698
NCAPD2	ENSG00000010292.11	4.839685735	3.586869105	4.352870584
IFFO1	ENSG00000010295.18	1.385340704	1.854211636	1.274730535
GIPR	ENSG00000010310.7	0.223216544	0.784037313	0.413325554
PHF7	ENSG00000010318.18	0.986243498	1.463675822	0.706584143
SEMA3G	ENSG00000010319.5	1.561521922	4.025999385	2.560779099
NISCH	ENSG00000010322.14	3.049184148	4.174646569	3.015434403
STAB1	ENSG00000010327.9	2.517358186	3.099017907	2.445334876
FUZ	ENSG00000010361.12	2.396091411	2.743282124	3.229275334
SLC6A13	ENSG00000010379.14	0.027613248	0.019724458	0.022668245
IDS	ENSG00000010404.16	3.367629697	4.087980319	4.638952167
PRSS3	ENSG00000010438.15	0.747303433	0.216149099	0.092348157
ZNF200	ENSG00000010539.10	1.426234826	1.468316312	1.475335468
CD4	ENSG00000010610.8	3.927545744	3.144942044	4.225827922
LRRC23	ENSG00000010626.13	1.766600566	1.692453678	1.937288977
BTK	ENSG00000010671.14	1.645600667	1.51053105	1.549506157
HFE	ENSG00000010704.17	1.682013782	2.773847931	1.609953354
SCMH1	ENSG00000010803.15	3.762903383	4.050447831	3.82433768
FYN	ENSG00000010810.16	2.673493667	2.857826046	3.023432788
HIVEP2	ENSG00000010818.7	2.408494837	2.369033189	2.802390326
FMO1	ENSG00000010932.14	1.539903457	2.460019249	2.033222811
TCEB3	ENSG00000011007.11	3.79536818	3.565127386	4.083603065
LYPLA2	ENSG00000011009.9	5.083142092	4.69011076	4.998043669
CLCN6	ENSG00000011021.20	1.553256159	2.215061142	1.819335127
MRC2	ENSG00000011028.12	4.276509325	3.644455869	3.882230769
NME2	ENSG00000011052.20	0.671010541	0.2660432	0.570604585
SLC6A7	ENSG00000011083.7	0.067502017	0.019399936	0.032314843
TSPAN9	ENSG00000011105.10	3.583425089	4.383167853	4.119914006
BTBD7	ENSG00000011114.13	2.024318444	2.918296772	2.386131877
APBA3	ENSG00000011132.10	1.878052134	1.596354752	1.511294974
MKS1	ENSG00000011143.15	2.200411952	2.353030991	2.649815292
ABHD5	ENSG00000011198.6	2.915057371	2.812592195	3.182255135
KAL1	ENSG00000011201.9	1.27282071	2.161978321	1.939678149
AKAP8L	ENSG00000011243.16	3.266349358	3.029305158	3.354602357
MBTD1	ENSG00000011258.14	2.373153418	2.645387269	2.910078292
UTP18	ENSG00000011260.12	4.081477639	3.923181387	4.406121433
RNF216	ENSG00000011275.17	3.267606202	3.477339329	2.759447903
TTC19	ENSG00000011295.14	3.230151065	3.813212037	3.563430564
PTBP1	ENSG00000011304.15	5.541608995	5.356948457	5.714628101
DPF1	ENSG00000011332.18	0.2823596	0.102146716	0.244373343
SYT7	ENSG00000011347.8	3.509563505	3.846778569	4.962459078
LARS2	ENSG00000011376.8	2.445661446	2.624420838	2.675775823
PIK3C2A	ENSG00000011405.12	2.841690757	3.69140473	3.574800546
PLAUR	ENSG00000011422.10	3.827985307	2.12486287	2.775160694
ANLN	ENSG00000011426.9	4.008256061	1.728441779	2.824294799
WIZ	ENSG00000011451.16	3.558014483	2.821766284	3.488189374
RABGAP1	ENSG00000011454.15	3.118751423	3.684906842	3.321900229
DCN	ENSG00000011465.15	4.318316086	6.54256955	5.371016618
QPCTL	ENSG00000011478.10	2.983996175	2.743439499	2.552995396
PPP5C	ENSG00000011485.13	3.309867789	2.984693041	3.541415854
CEP68	ENSG00000011523.12	2.129488015	3.231940411	2.345099205
MAP4K3	ENSG00000011566.13	2.712375184	3.407686615	3.301781554
ZBTB32	ENSG00000011590.12	0.530459591	0.214733971	0.333246575
TYROBP	ENSG00000011600.10	5.621279216	4.963392382	5.549249555
TMEM159	ENSG00000011638.9	4.167999544	4.984088684	3.520217319
GABRA3	ENSG00000011677.11	0.432929561	0.002812946	0.162088361
BRCA1	ENSG00000012048.18	1.538309539	1.192785356	1.81197103
ERCC1	ENSG00000012061.14	3.472216295	3.539159627	3.302032974
CD22	ENSG00000012124.13	0.876552563	0.69124064	0.953238198
SEMA3B	ENSG00000012171.16	1.116544195	1.600432284	2.625695204
MBTPS2	ENSG00000012174.10	1.96148726	2.216090967	2.365607074
PRICKLE3	ENSG00000012211.11	2.053360207	1.924871883	1.777909526
LTF	ENSG00000012223.11	5.292445736	7.093643594	2.80261756
EXTL3	ENSG00000012232.7	2.449431281	2.365080851	1.681911965
NR1H4	ENSG00000012504.12	0.025344246	0.017527799	0.004853649
ELOVL5	ENSG00000012660.12	4.820223638	5.902362474	6.584273035
ALOX5	ENSG00000012779.9	2.695183849	2.738150155	2.314046014
KDM5D	ENSG00000012817.14	0.002595567	0.001247754	0.001778452
CALCOCO1	ENSG00000012822.14	2.638681083	3.867337037	2.761540979
UBR7	ENSG00000012963.12	3.717013433	4.519664775	4.514093078
MAP4K5	ENSG00000012983.10	3.021585647	3.432250866	3.097316276
EHD3	ENSG00000013016.13	2.090166382	2.844771199	2.231304426
PSMC4	ENSG00000013275.6	5.557890539	4.697275152	5.404437996
MAN2B2	ENSG00000013288.7	2.548710177	3.307706434	4.04687137
SLC7A14	ENSG00000013293.5	0.024750409	0.055770923	0.004109349
CLDN11	ENSG00000013297.9	0.864602859	2.991238779	1.012347294
SLC25A39	ENSG00000013306.14	5.534998286	4.539027074	5.401520519
MVP	ENSG00000013364.17	4.161815146	4.107814609	4.554967269
NUB1	ENSG00000013374.14	4.160725465	4.249816408	3.842038941
PGM3	ENSG00000013375.14	3.122576872	3.260338129	3.62783026
RWDD2A	ENSG00000013392.7	1.617992314	2.073596439	2.184584441
CLK1	ENSG00000013441.14	3.470683128	4.917057683	4.146127712
POLR3B	ENSG00000013503.8	2.104721587	2.511480747	1.97597491
ANGEL1	ENSG00000013523.8	2.26935698	2.705927566	1.897263023
RNF14	ENSG00000013561.16	3.408660577	3.883792536	3.994417681
DNASE1L1	ENSG00000013563.12	2.457067516	2.543201888	2.514499142
DDX11	ENSG00000013573.15	2.378317468	1.524127775	2.243371422
HEBP1	ENSG00000013583.7	3.758687901	4.133587268	3.883521916
GPRC5A	ENSG00000013588.5	3.39517629	2.885961975	5.542159892
MAMLD1	ENSG00000013619.12	1.729974784	1.498102475	1.377431343
CD6	ENSG00000013725.13	1.651854166	1.1393132	1.87522281
TACC3	ENSG00000013810.17	3.646687145	1.868382833	3.766969128
UFL1	ENSG00000014123.9	3.397457123	3.947467275	3.752576531
POLA2	ENSG00000014138.7	2.742794689	1.987913373	2.475018472
ZC3H3	ENSG00000014164.6	3.562584934	2.878573394	3.612740685
CAPN1	ENSG00000014216.14	5.022633483	4.285761498	4.599079051
ACPP	ENSG00000014257.14	0.424734081	1.136595129	0.638139854
MDH1	ENSG00000014641.16	5.119285454	4.572230312	4.657766694
SLC30A9	ENSG00000014824.12	3.366785671	3.935711459	4.056802586
MTMR11	ENSG00000014914.18	2.219847716	2.510209583	2.103620255
COX15	ENSG00000014919.11	3.257150993	3.687847124	3.122830633
CCDC88C	ENSG00000015133.17	2.245387181	2.110066933	3.32353801
YAF2	ENSG00000015153.13	1.180514965	1.65505345	1.527147599
ZMYND11	ENSG00000015171.17	4.562893511	5.207577511	4.37692342
WAS	ENSG00000015285.9	2.625948085	2.00038079	2.672011889
DPEP1	ENSG00000015413.8	0.514900076	0.894722339	0.664543845
BID	ENSG00000015475.17	3.217732478	2.862181843	3.269619544
MATR3	ENSG00000015479.16	0.443545964	0.723182475	0.65364487
NPC1L1	ENSG00000015520.13	0.091973527	0.721359362	0.24743922
XYLT2	ENSG00000015532.8	2.556107925	2.888697623	3.642222831
RGPD5	ENSG00000015568.11	0.001397597	0.005026134	0.002373551
STMN4	ENSG00000015592.15	0.042004816	0.039510918	0.025890032
NUDCD3	ENSG00000015676.16	3.373499256	3.928520432	3.644173672
ISL1	ENSG00000016082.13	0.101864983	0.373943892	0.03318686
CHDH	ENSG00000016391.9	2.201456067	3.386141736	2.02049
IL20RA	ENSG00000016402.11	0.966174845	3.269221262	2.162192426
CLCA1	ENSG00000016490.14	0.003915369	0.014390312	0
CLCA4	ENSG00000016602.9	0.195294705	0.787391219	0
GLT8D1	ENSG00000016864.15	3.615578056	4.52230826	3.887627009
ATP2C1	ENSG00000017260.18	4.482223033	4.401708707	3.901316298
IGF1	ENSG00000017427.14	0.288338517	0.856878718	0.719828435
SLC38A5	ENSG00000017483.13	1.748488153	0.85778606	0.874463054
RALBP1	ENSG00000017797.10	4.516750569	4.28008032	4.378704758
RUFY3	ENSG00000018189.11	2.279057546	2.697880566	2.368672694
CNTN1	ENSG00000018236.13	0.948683116	2.065801904	0.896669178
SLC11A1	ENSG00000018280.15	1.117026956	0.276188992	0.664074732
WWTR1	ENSG00000018408.13	4.102153102	4.352114579	3.390475461
AGPS	ENSG00000018510.11	2.735399882	2.803344049	3.329946627
ZNF806	ENSG00000018607.6	0.014326435	0	0
CXorf56	ENSG00000018610.12	3.638655353	3.790043628	3.794251392
ATP1A2	ENSG00000018625.13	0.138413955	1.519082717	0.281980053
TTC27	ENSG00000018699.10	3.373756056	3.352817325	3.115987384
ZNF582	ENSG00000018869.15	0.728587071	1.622759286	0.71918406
VSIG2	ENSG00000019102.10	0.904913165	4.846221799	0.351573059
PHLDB1	ENSG00000019144.15	1.905715226	2.424627531	2.041724466
MARCO	ENSG00000019169.10	2.594578604	0.342257918	1.112225737
CYP24A1	ENSG00000019186.8	0.614076243	0.05397517	0.097887829
PRDM11	ENSG00000019485.11	0.913194815	1.172544848	1.331061854
SYT13	ENSG00000019505.6	1.3241422	0.518800166	4.275232748
SNAI2	ENSG00000019549.7	3.352127082	4.339585896	2.718767202
CD74	ENSG00000019582.13	9.025140741	8.817318162	9.516854397
HGF	ENSG00000019991.14	0.461011709	1.661995115	1.1946541
ZRANB1	ENSG00000019995.6	2.295646422	2.512902672	2.476806577
NCDN	ENSG00000020129.14	3.327690002	3.885148277	3.645039143
GPR124	ENSG00000020181.16	2.146298004	3.427350493	2.468743709
CCT8L1P	ENSG00000020219.9	0.017944946	0.028798018	0.009996277
ZFP64	ENSG00000020256.18	2.283198062	1.94750995	2.140521421
MNAT1	ENSG00000020426.9	2.261322689	2.827624901	2.090978183
