gene	transcript	KMS11_EXP	MM1S_EXP	RPMI_EXP
LOC375295	LOC375295	4.520843366	0	0
PRKCH	PRKCH	4.459569324	0	0
EBF3	EBF3	4.395570122	0	0
CCNA1	CCNA1	4.328606717	0	0
TCF24	TCF24	4.328606717	0	0
UNQ6494	UNQ6494	4.328606717	0	0
PLCB2	PLCB2	4.258383242	0	0
GPRASP1	GPRASP1	4.184558014	0	0
HOXA3	HOXA3	4.184558014	0	0
TRAM1L1	TRAM1L1	4.184558014	0	0
CCR7	CCR7	4.106758689	0	0
HS3ST3A1	HS3ST3A1	4.106758689	0	0
GRIK2	GRIK2	4.024514721	0	0
SP8	SP8	4.024514721	0	0
NR2F1	NR2F1	3.844496131	0	0
URGCP-MRPS24	URGCP-MRPS24	3.807138502	0	0
CEBPA-AS1	CEBPA-AS1	3.745269607	0	0
DLEU7	DLEU7	3.745269607	0	0
HEPACAM2	HEPACAM2	3.745269607	0	0
LOC100130298	LOC100130298	3.745269607	0	0
TRHDE	TRHDE	3.745269607	0	0
ACOT1	ACOT1	3.638734197	0	0
DACT1	DACT1	3.638734197	0	0
GLIPR1L2	GLIPR1L2	3.638734197	0	0
RNF17	RNF17	3.638734197	0	0
SCN1B	SCN1B	3.638734197	0	0
HCN1	HCN1	3.523687402	0	0
HOXD1	HOXD1	3.523687402	0	0
IFNL1	IFNL1	3.523687402	0	0
LHX6	LHX6	3.523687402	0	0
NCR2	NCR2	3.523687402	0	0
OLFM4	OLFM4	3.523687402	0	0
SPATA31C2	SPATA31C2	3.523687402	0	0
TMEM31	TMEM31	3.523687402	0	0
ZDHHC15	ZDHHC15	3.523687402	0	0
FAM198B	FAM198B	3.398678716	0	0
ESRRB	ESRRB	3.261795561	0	0
SLC26A7	SLC26A7	3.261795561	0	0
SNX7	SNX7	3.261795561	0	0
COL6A4P1	COL6A4P1	3.110550334	0	0
CPT1C	CPT1C	3.110550334	0	0
FANK1	FANK1	3.110550334	0	0
LRAT	LRAT	3.110550334	0	0
PRDM6	PRDM6	3.110550334	0	0
C10orf105	C10orf105	2.941665998	0	0
B3GALT4	B3GALT4	2.941572106	0	0
CYP2B7P1	CYP2B7P1	2.941572106	0	0
EPYC	EPYC	2.941572106	0	0
ESPNL	ESPNL	2.941572106	0	0
FLG	FLG	2.941572106	0	0
GIMAP1	GIMAP1	2.941572106	0	0
GJB6	GJB6	2.941572106	0	0
GSC	GSC	2.941572106	0	0
LINC00629	LINC00629	2.941572106	0	0
LINGO2	LINGO2	2.941572106	0	0
LOC100506013	LOC100506013	2.941572106	0	0
LOC100506385	LOC100506385	2.941572106	0	0
LOC100506499	LOC100506499	2.941572106	0	0
SYPL2	SYPL2	2.941572106	0	0
ZCCHC5	ZCCHC5	2.941572106	0	0
DYX1C1	DYX1C1	2.80199257	0	0
CACNA1B	CACNA1B	2.750143396	0	0
FBLL1	FBLL1	2.750143396	0	0
HIST1H1B	HIST1H1B	2.750143396	0	0
LAMB4	LAMB4	2.750143396	0	0
LOC100996634	LOC100996634	2.750143396	0	0
LRRC55	LRRC55	2.750143396	0	0
PTCHD1	PTCHD1	2.750143396	0	0
RAX	RAX	2.750143396	0	0
TAL2	TAL2	2.750143396	0	0
TEKT4	TEKT4	2.750143396	0	0
TSPAN19	TSPAN19	2.750143396	0	0
VAT1L	VAT1L	2.750143396	0	0
CC2D2B	CC2D2B	2.529573606	0	0
ACHE	ACHE	2.529371205	0	0
ATOH1	ATOH1	2.529371205	0	0
CYP4Z1	CYP4Z1	2.529371205	0	0
DLEU7-AS1	DLEU7-AS1	2.529371205	0	0
DNAJA1P5	DNAJA1P5	2.529371205	0	0
GABRA6	GABRA6	2.529371205	0	0
GATA3-AS1	GATA3-AS1	2.529371205	0	0
GATA6	GATA6	2.529371205	0	0
HIST2H2AB	HIST2H2AB	2.529371205	0	0
KCNG1	KCNG1	2.529371205	0	0
LEUTX	LEUTX	2.529371205	0	0
MAGEE2	MAGEE2	2.529371205	0	0
SERPINA1	SERPINA1	2.529371205	0	0
SFTA3	SFTA3	2.529371205	0	0
SNORA53	SNORA53	2.529371205	0	0
SPTBN5	SPTBN5	2.529371205	0	0
TBR1	TBR1	2.529371205	0	0
TREML1	TREML1	2.529371205	0	0
TTLL2	TTLL2	2.529371205	0	0
TTLL6	TTLL6	2.529371205	0	0
ZIC1	ZIC1	2.529371205	0	0
RPL13AP6	RPL13AP6	2.269682512	0	0
ADAM21P1	ADAM21P1	2.268602069	0	0
AIRE	AIRE	2.268602069	0	0
AKAP17A	AKAP17A	2.268602069	0	0
AMER3	AMER3	2.268602069	0	0
ANKRD26P3	ANKRD26P3	2.268602069	0	0
ANKRD65	ANKRD65	2.268602069	0	0
C1orf227	C1orf227	2.268602069	0	0
CXorf30	CXorf30	2.268602069	0	0
DKFZp566F0947	DKFZp566F0947	2.268602069	0	0
FOXL1	FOXL1	2.268602069	0	0
GABRE	GABRE	2.268602069	0	0
GCM1	GCM1	2.268602069	0	0
GPM6A	GPM6A	2.268602069	0	0
HCN4	HCN4	2.268602069	0	0
IL17REL	IL17REL	2.268602069	0	0
LINC00525	LINC00525	2.268602069	0	0
LOC729506	LOC729506	2.268602069	0	0
LRFN5	LRFN5	2.268602069	0	0
MIR3916	MIR3916	2.268602069	0	0
MSTN	MSTN	2.268602069	0	0
OLAH	OLAH	2.268602069	0	0
PAPPA2	PAPPA2	2.268602069	0	0
PCDHB12	PCDHB12	2.268602069	0	0
PLA2G3	PLA2G3	2.268602069	0	0
PLG	PLG	2.268602069	0	0
SIT1	SIT1	2.268602069	0	0
SPATA4	SPATA4	2.268602069	0	0
VCAM1	VCAM1	2.268602069	0	0
VHLL	VHLL	2.268602069	0	0
MIA-RAB4B	MIA-RAB4B	2.162970506	0	0
ACSM1	ACSM1	1.950065224	0	0
ACVRL1	ACVRL1	1.950065224	0	0
ADAM5	ADAM5	1.950065224	0	0
ADH6	ADH6	1.950065224	0	0
B3GNT8	B3GNT8	1.950065224	0	0
C1orf111	C1orf111	1.950065224	0	0
C22orf24	C22orf24	1.950065224	0	0
CD1D	CD1D	1.950065224	0	0
CDC20B	CDC20B	1.950065224	0	0
CSN2	CSN2	1.950065224	0	0
DRC1	DRC1	1.950065224	0	0
EDAR	EDAR	1.950065224	0	0
EGFR	EGFR	1.950065224	0	0
EMR4P	EMR4P	1.950065224	0	0
F7	F7	1.950065224	0	0
FAM153A	FAM153A	1.950065224	0	0
FAM153B	FAM153B	1.950065224	0	0
FBXO17	FBXO17	1.950065224	0	0
FLJ14107	FLJ14107	1.950065224	0	0
GABRA5	GABRA5	1.950065224	0	0
GPR116	GPR116	1.950065224	0	0
HPSE2	HPSE2	1.950065224	0	0
ISLR2	ISLR2	1.950065224	0	0
KIF19	KIF19	1.950065224	0	0
LINC00282	LINC00282	1.950065224	0	0
LOC100129935	LOC100129935	1.950065224	0	0
LOC100130480	LOC100130480	1.950065224	0	0
MAGEA8	MAGEA8	1.950065224	0	0
MEGF11	MEGF11	1.950065224	0	0
MYO1A	MYO1A	1.950065224	0	0
NANOG	NANOG	1.950065224	0	0
NOL4	NOL4	1.950065224	0	0
NOTCH3	NOTCH3	1.950065224	0	0
NOV	NOV	1.950065224	0	0
OR2B6	OR2B6	1.950065224	0	0
PBX4	PBX4	1.950065224	0	0
PDX1	PDX1	1.950065224	0	0
PLVAP	PLVAP	1.950065224	0	0
PNMT	PNMT	1.950065224	0	0
PTGES	PTGES	1.950065224	0	0
PTK7	PTK7	1.950065224	0	0
RAB3C	RAB3C	1.950065224	0	0
RAD51AP2	RAD51AP2	1.950065224	0	0
RNF128	RNF128	1.950065224	0	0
SLC25A41	SLC25A41	1.950065224	0	0
SLC7A9	SLC7A9	1.950065224	0	0
SLPI	SLPI	1.950065224	0	0
SPRR2G	SPRR2G	1.950065224	0	0
STRA6	STRA6	1.950065224	0	0
TNFRSF4	TNFRSF4	1.950065224	0	0
VSTM2B	VSTM2B	1.950065224	0	0
XKR4	XKR4	1.950065224	0	0
ZNF536	ZNF536	1.950065224	0	0
ZNF648	ZNF648	1.950065224	0	0
NT5C1B-RDH14	NT5C1B-RDH14	1.702413749	0	0
LDLRAD2	LDLRAD2	1.567983446	0	0
JPH4	JPH4	1.540672071	0	0
ABCA12	ABCA12	1.540662153	0	0
ACPT	ACPT	1.540662153	0	0
ADCYAP1	ADCYAP1	1.540662153	0	0
AMBP	AMBP	1.540662153	0	0
ANGPTL1	ANGPTL1	1.540662153	0	0
APOBEC4	APOBEC4	1.540662153	0	0
AQP7P3	AQP7P3	1.540662153	0	0
ARHGEF33	ARHGEF33	1.540662153	0	0
ARMC12	ARMC12	1.540662153	0	0
ASB5	ASB5	1.540662153	0	0
ATP4A	ATP4A	1.540662153	0	0
BASP1P1	BASP1P1	1.540662153	0	0
BSN-AS2	BSN-AS2	1.540662153	0	0
C5orf47	C5orf47	1.540662153	0	0
C7orf71	C7orf71	1.540662153	0	0
C9orf106	C9orf106	1.540662153	0	0
C9orf24	C9orf24	1.540662153	0	0
CASS4	CASS4	1.540662153	0	0
CDK5R2	CDK5R2	1.540662153	0	0
CFL1P1	CFL1P1	1.540662153	0	0
CRB1	CRB1	1.540662153	0	0
CYP26B1	CYP26B1	1.540662153	0	0
CYP4F12	CYP4F12	1.540662153	0	0
DAAM2	DAAM2	1.540662153	0	0
DLGAP2	DLGAP2	1.540662153	0	0
ERAS	ERAS	1.540662153	0	0
FAM159B	FAM159B	1.540662153	0	0
FAM225A	FAM225A	1.540662153	0	0
FCAR	FCAR	1.540662153	0	0
FIGNL2	FIGNL2	1.540662153	0	0
FNDC1	FNDC1	1.540662153	0	0
FOLH1B	FOLH1B	1.540662153	0	0
FOXD4L3	FOXD4L3	1.540662153	0	0
FOXF2	FOXF2	1.540662153	0	0
FTCD	FTCD	1.540662153	0	0
GBP5	GBP5	1.540662153	0	0
GGN	GGN	1.540662153	0	0
GLP1R	GLP1R	1.540662153	0	0
GPR133	GPR133	1.540662153	0	0
GUCY2D	GUCY2D	1.540662153	0	0
HELT	HELT	1.540662153	0	0
HGD	HGD	1.540662153	0	0
HLA-DPB2	HLA-DPB2	1.540662153	0	0
HORMAD1	HORMAD1	1.540662153	0	0
IL33	IL33	1.540662153	0	0
ITIH5	ITIH5	1.540662153	0	0
KCNJ2	KCNJ2	1.540662153	0	0
KIF12	KIF12	1.540662153	0	0
LHB	LHB	1.540662153	0	0
LHX1	LHX1	1.540662153	0	0
LINC00421	LINC00421	1.540662153	0	0
LINC00538	LINC00538	1.540662153	0	0
LINC00624	LINC00624	1.540662153	0	0
LMCD1	LMCD1	1.540662153	0	0
LMO2	LMO2	1.540662153	0	0
LOC100128076	LOC100128076	1.540662153	0	0
LOC100996255	LOC100996255	1.540662153	0	0
LOC388948	LOC388948	1.540662153	0	0
MUC6	MUC6	1.540662153	0	0
NFASC	NFASC	1.540662153	0	0
NGEF	NGEF	1.540662153	0	0
NKX2-3	NKX2-3	1.540662153	0	0
OPALIN	OPALIN	1.540662153	0	0
OR2T33	OR2T33	1.540662153	0	0
PAPOLB	PAPOLB	1.540662153	0	0
PCDHB15	PCDHB15	1.540662153	0	0
PCDHB19P	PCDHB19P	1.540662153	0	0
PHF21B	PHF21B	1.540662153	0	0
PNCK	PNCK	1.540662153	0	0
PTGER3	PTGER3	1.540662153	0	0
RASD1	RASD1	1.540662153	0	0
RNASE10	RNASE10	1.540662153	0	0
RNF126P1	RNF126P1	1.540662153	0	0
RS1	RS1	1.540662153	0	0
SAG	SAG	1.540662153	0	0
SCN4B	SCN4B	1.540662153	0	0
SERPINI2	SERPINI2	1.540662153	0	0
SLC10A4	SLC10A4	1.540662153	0	0
SLC22A20	SLC22A20	1.540662153	0	0
SLC28A2	SLC28A2	1.540662153	0	0
SLC39A2	SLC39A2	1.540662153	0	0
SLC39A5	SLC39A5	1.540662153	0	0
SLC45A2	SLC45A2	1.540662153	0	0
SLITRK4	SLITRK4	1.540662153	0	0
SNAR-G2	SNAR-G2	1.540662153	0	0
SNORA29	SNORA29	1.540662153	0	0
SNORA3	SNORA3	1.540662153	0	0
SNORA32	SNORA32	1.540662153	0	0
SNORA34	SNORA34	1.540662153	0	0
SNORA74B	SNORA74B	1.540662153	0	0
SNORD15B	SNORD15B	1.540662153	0	0
SNORD42A	SNORD42A	1.540662153	0	0
TEDDM1	TEDDM1	1.540662153	0	0
TMLHE-AS1	TMLHE-AS1	1.540662153	0	0
TNFAIP6	TNFAIP6	1.540662153	0	0
TRHDE-AS1	TRHDE-AS1	1.540662153	0	0
TRIM40	TRIM40	1.540662153	0	0
TTC9B	TTC9B	1.540662153	0	0
TUBA4B	TUBA4B	1.540662153	0	0
VAMP7	VAMP7	1.540662153	0	0
VENTX	VENTX	1.540662153	0	0
WDR93	WDR93	1.540662153	0	0
WFIKKN1	WFIKKN1	1.540662153	0	0
WT1-AS	WT1-AS	1.540662153	0	0
ZBTB32	ZBTB32	1.540662153	0	0
ZNF488	ZNF488	1.540662153	0	0
ZPBP	ZPBP	1.540662153	0	0
CYP3A7	CYP3A7	1.54003223	0	0
PCDHGC5	PCDHGC5	1.477231759	0	0
MAGED4	MAGED4	1.132293869	0	0
CRHR1	CRHR1	1.099241334	0	0
PCDHGB6	PCDHGB6	0.99290182	0	0
SATB2-AS1	SATB2-AS1	0.96825815	0	0
C17orf78	C17orf78	0.968118776	0	0
PCDHGA1	PCDHGA1	0.967639344	0	0
SNORD12B	SNORD12B	0.967496221	0	0
GPX2	GPX2	0.967375957	0	0
WDR65	WDR65	0.967067505	0	0
KCNQ5-AS1	KCNQ5-AS1	0.966965657	0	0
INGX	INGX	0.96693023	0	0
OMD	OMD	0.966903659	0	0
ACADL	ACADL	0.966902921	0	0
ACOT12	ACOT12	0.966902921	0	0
ACR	ACR	0.966902921	0	0
ADAM30	ADAM30	0.966902921	0	0
ADCY4	ADCY4	0.966902921	0	0
ADH1B	ADH1B	0.966902921	0	0
AGRP	AGRP	0.966902921	0	0
ALDH3A1	ALDH3A1	0.966902921	0	0
ALOX15	ALOX15	0.966902921	0	0
ALPP	ALPP	0.966902921	0	0
ANKRD26P1	ANKRD26P1	0.966902921	0	0
ANKRD62	ANKRD62	0.966902921	0	0
APCDD1L-AS1	APCDD1L-AS1	0.966902921	0	0
AQP9	AQP9	0.966902921	0	0
ASCL5	ASCL5	0.966902921	0	0
ASGR2	ASGR2	0.966902921	0	0
ATOH7	ATOH7	0.966902921	0	0
ATP1B4	ATP1B4	0.966902921	0	0
B3GALT5	B3GALT5	0.966902921	0	0
BARHL1	BARHL1	0.966902921	0	0
BARHL2	BARHL2	0.966902921	0	0
BBOX1	BBOX1	0.966902921	0	0
BHMT	BHMT	0.966902921	0	0
BOC	BOC	0.966902921	0	0
C11orf88	C11orf88	0.966902921	0	0
C13orf45	C13orf45	0.966902921	0	0
C1QTNF2	C1QTNF2	0.966902921	0	0
C2orf66	C2orf66	0.966902921	0	0
C2orf73	C2orf73	0.966902921	0	0
C5orf20	C5orf20	0.966902921	0	0
C5orf48	C5orf48	0.966902921	0	0
C8orf42	C8orf42	0.966902921	0	0
C8orf56	C8orf56	0.966902921	0	0
C9orf92	C9orf92	0.966902921	0	0
CA3	CA3	0.966902921	0	0
CABP5	CABP5	0.966902921	0	0
CACNA1G	CACNA1G	0.966902921	0	0
CALB2	CALB2	0.966902921	0	0
CALY	CALY	0.966902921	0	0
CASP14	CASP14	0.966902921	0	0
CATSPERD	CATSPERD	0.966902921	0	0
CCDC172	CCDC172	0.966902921	0	0
CCDC36	CCDC36	0.966902921	0	0
CCDC37	CCDC37	0.966902921	0	0
CCL19	CCL19	0.966902921	0	0
CCL25	CCL25	0.966902921	0	0
CCR8	CCR8	0.966902921	0	0
CDC42P3	CDC42P3	0.966902921	0	0
CDH13	CDH13	0.966902921	0	0
CDO1	CDO1	0.966902921	0	0
CELF2-AS2	CELF2-AS2	0.966902921	0	0
CETP	CETP	0.966902921	0	0
CHDC2	CHDC2	0.966902921	0	0
CHRM4	CHRM4	0.966902921	0	0
CHRNG	CHRNG	0.966902921	0	0
CIB3	CIB3	0.966902921	0	0
CKM	CKM	0.966902921	0	0
CLCN1	CLCN1	0.966902921	0	0
CLDN5	CLDN5	0.966902921	0	0
CNTFR	CNTFR	0.966902921	0	0
COL20A1	COL20A1	0.966902921	0	0
COL9A1	COL9A1	0.966902921	0	0
CREB3L3	CREB3L3	0.966902921	0	0
CRTAM	CRTAM	0.966902921	0	0
CSNK1A1L	CSNK1A1L	0.966902921	0	0
CTAGE10P	CTAGE10P	0.966902921	0	0
CTCFL	CTCFL	0.966902921	0	0
CTXN2	CTXN2	0.966902921	0	0
CXCR6	CXCR6	0.966902921	0	0
CYP26C1	CYP26C1	0.966902921	0	0
CYP2A6	CYP2A6	0.966902921	0	0
CYP2C9	CYP2C9	0.966902921	0	0
CYP2S1	CYP2S1	0.966902921	0	0
CYP4B1	CYP4B1	0.966902921	0	0
CYYR1	CYYR1	0.966902921	0	0
DACT2	DACT2	0.966902921	0	0
DAGLA	DAGLA	0.966902921	0	0
DIAPH3-AS1	DIAPH3-AS1	0.966902921	0	0
DIO2-AS1	DIO2-AS1	0.966902921	0	0
DKFZp686D0853	DKFZp686D0853	0.966902921	0	0
DYDC2	DYDC2	0.966902921	0	0
ECEL1P2	ECEL1P2	0.966902921	0	0
EGOT	EGOT	0.966902921	0	0
EXD1	EXD1	0.966902921	0	0
FABP5P3	FABP5P3	0.966902921	0	0
FAM133CP	FAM133CP	0.966902921	0	0
FAM163A	FAM163A	0.966902921	0	0
FAM177B	FAM177B	0.966902921	0	0
FAM194B	FAM194B	0.966902921	0	0
FAM205A	FAM205A	0.966902921	0	0
FAM20C	FAM20C	0.966902921	0	0
FAM71A	FAM71A	0.966902921	0	0
FAM83A	FAM83A	0.966902921	0	0
FKBP6	FKBP6	0.966902921	0	0
FLG2	FLG2	0.966902921	0	0
FLJ22447	FLJ22447	0.966902921	0	0
FLJ35024	FLJ35024	0.966902921	0	0
FLJ45079	FLJ45079	0.966902921	0	0
FNDC7	FNDC7	0.966902921	0	0
FOXJ1	FOXJ1	0.966902921	0	0
FOXL2	FOXL2	0.966902921	0	0
FXYD7	FXYD7	0.966902921	0	0
GH1	GH1	0.966902921	0	0
GJB5	GJB5	0.966902921	0	0
GLT1D1	GLT1D1	0.966902921	0	0
GOLGA8DP	GOLGA8DP	0.966902921	0	0
GPA33	GPA33	0.966902921	0	0
GPR15	GPR15	0.966902921	0	0
GRID2	GRID2	0.966902921	0	0
GRIK3	GRIK3	0.966902921	0	0
GRM7	GRM7	0.966902921	0	0
GSG1	GSG1	0.966902921	0	0
GYPA	GYPA	0.966902921	0	0
GZMM	GZMM	0.966902921	0	0
HDC	HDC	0.966902921	0	0
HIST1H2BE	HIST1H2BE	0.966902921	0	0
HMGN2P46	HMGN2P46	0.966902921	0	0
HOXA11-AS	HOXA11-AS	0.966902921	0	0
HOXB8	HOXB8	0.966902921	0	0
HOXD10	HOXD10	0.966902921	0	0
HOXD12	HOXD12	0.966902921	0	0
ICOS	ICOS	0.966902921	0	0
IFNW1	IFNW1	0.966902921	0	0
IHH	IHH	0.966902921	0	0
IL17B	IL17B	0.966902921	0	0
IL22	IL22	0.966902921	0	0
IL9	IL9	0.966902921	0	0
IRX1	IRX1	0.966902921	0	0
ITLN2	ITLN2	0.966902921	0	0
KCNA5	KCNA5	0.966902921	0	0
KCNC1	KCNC1	0.966902921	0	0
KCNG2	KCNG2	0.966902921	0	0
KIF25	KIF25	0.966902921	0	0
KIR3DL3	KIR3DL3	0.966902921	0	0
KLHL30	KLHL30	0.966902921	0	0
KLHL34	KLHL34	0.966902921	0	0
KRT9	KRT9	0.966902921	0	0
KRTAP1-1	KRTAP1-1	0.966902921	0	0
KRTAP5-9	KRTAP5-9	0.966902921	0	0
LAG3	LAG3	0.966902921	0	0
LAMC2	LAMC2	0.966902921	0	0
LGALS4	LGALS4	0.966902921	0	0
LINC00086	LINC00086	0.966902921	0	0
LINC00240	LINC00240	0.966902921	0	0
LINC00271	LINC00271	0.966902921	0	0
LINC00303	LINC00303	0.966902921	0	0
LINC00488	LINC00488	0.966902921	0	0
LINC00862	LINC00862	0.966902921	0	0
LIPN	LIPN	0.966902921	0	0
LMAN1L	LMAN1L	0.966902921	0	0
LMOD2	LMOD2	0.966902921	0	0
LMX1B	LMX1B	0.966902921	0	0
LOC100128946	LOC100128946	0.966902921	0	0
LOC100129027	LOC100129027	0.966902921	0	0
LOC100130673	LOC100130673	0.966902921	0	0
LOC100133669	LOC100133669	0.966902921	0	0
LOC100287036	LOC100287036	0.966902921	0	0
LOC100505702	LOC100505702	0.966902921	0	0
LOC100506421	LOC100506421	0.966902921	0	0
LOC100507156	LOC100507156	0.966902921	0	0
LOC100507489	LOC100507489	0.966902921	0	0
LOC158435	LOC158435	0.966902921	0	0
LOC285484	LOC285484	0.966902921	0	0
LOC339505	LOC339505	0.966902921	0	0
LOC440518	LOC440518	0.966902921	0	0
LOC441455	LOC441455	0.966902921	0	0
LOC441601	LOC441601	0.966902921	0	0
LOC494127	LOC494127	0.966902921	0	0
LOC643441	LOC643441	0.966902921	0	0
LOC648691	LOC648691	0.966902921	0	0
LPA	LPA	0.966902921	0	0
LRCH2	LRCH2	0.966902921	0	0
LRRC10B	LRRC10B	0.966902921	0	0
LRRC71	LRRC71	0.966902921	0	0
LRRC73	LRRC73	0.966902921	0	0
LYG2	LYG2	0.966902921	0	0
MADCAM1	MADCAM1	0.966902921	0	0
MALL	MALL	0.966902921	0	0
MAP1LC3C	MAP1LC3C	0.966902921	0	0
MBOAT4	MBOAT4	0.966902921	0	0
MEPE	MEPE	0.966902921	0	0
MGC16025	MGC16025	0.966902921	0	0
MIR4461	MIR4461	0.966902921	0	0
MIR4635	MIR4635	0.966902921	0	0
MLIP	MLIP	0.966902921	0	0
MLNR	MLNR	0.966902921	0	0
MMP21	MMP21	0.966902921	0	0
MPP4	MPP4	0.966902921	0	0
MROH9	MROH9	0.966902921	0	0
MTVR2	MTVR2	0.966902921	0	0
MYCBPAP	MYCBPAP	0.966902921	0	0
MYOM3	MYOM3	0.966902921	0	0
NAPSB	NAPSB	0.966902921	0	0
NDST3	NDST3	0.966902921	0	0
NKX2-4	NKX2-4	0.966902921	0	0
NMUR2	NMUR2	0.966902921	0	0
NPY1R	NPY1R	0.966902921	0	0
NXPE2	NXPE2	0.966902921	0	0
OCM	OCM	0.966902921	0	0
OGFR-AS1	OGFR-AS1	0.966902921	0	0
OR2L1P	OR2L1P	0.966902921	0	0
OR5K2	OR5K2	0.966902921	0	0
OR8B8	OR8B8	0.966902921	0	0
OTC	OTC	0.966902921	0	0
PATE4	PATE4	0.966902921	0	0
PCDHB18	PCDHB18	0.966902921	0	0
PCDHB5	PCDHB5	0.966902921	0	0
PCDP1	PCDP1	0.966902921	0	0
PDE6G	PDE6G	0.966902921	0	0
PDZD4	PDZD4	0.966902921	0	0
PGAM1P5	PGAM1P5	0.966902921	0	0
PGF	PGF	0.966902921	0	0
PI3	PI3	0.966902921	0	0
PIN1P1	PIN1P1	0.966902921	0	0
PLA2G2F	PLA2G2F	0.966902921	0	0
PLP1	PLP1	0.966902921	0	0
PNMA5	PNMA5	0.966902921	0	0
POM121L2	POM121L2	0.966902921	0	0
PRCD	PRCD	0.966902921	0	0
PRKAG3	PRKAG3	0.966902921	0	0
PROSER2	PROSER2	0.966902921	0	0
PRR23C	PRR23C	0.966902921	0	0
PRR26	PRR26	0.966902921	0	0
PRRX2	PRRX2	0.966902921	0	0
QRFP	QRFP	0.966902921	0	0
RAB9BP1	RAB9BP1	0.966902921	0	0
RAET1G	RAET1G	0.966902921	0	0
RBM20	RBM20	0.966902921	0	0
RBP1	RBP1	0.966902921	0	0
RFPL1S	RFPL1S	0.966902921	0	0
RGS22	RGS22	0.966902921	0	0
RHCG	RHCG	0.966902921	0	0
RNASE13	RNASE13	0.966902921	0	0
ROPN1L	ROPN1L	0.966902921	0	0
RPS26P11	RPS26P11	0.966902921	0	0
RSPH10B	RSPH10B	0.966902921	0	0
RSPH10B2	RSPH10B2	0.966902921	0	0
SBK2	SBK2	0.966902921	0	0
SCARNA11	SCARNA11	0.966902921	0	0
SCARNA18	SCARNA18	0.966902921	0	0
SCGB2B2	SCGB2B2	0.966902921	0	0
SCTR	SCTR	0.966902921	0	0
SDS	SDS	0.966902921	0	0
SEMG1	SEMG1	0.966902921	0	0
SIGLEC10	SIGLEC10	0.966902921	0	0
SKINTL	SKINTL	0.966902921	0	0
SLC12A1	SLC12A1	0.966902921	0	0
SLC1A7	SLC1A7	0.966902921	0	0
SLC22A12	SLC22A12	0.966902921	0	0
