gene	probe	Basal_Avg	LumA_Avg	LumB_Avg
CYP26B1	ENSG00000003137.7	1.472127181	0.944194028	0.718525715
ICA1	ENSG00000003147.16	2.85608467	3.809375686	3.660978766
DBNDD1	ENSG00000003249.12	3.376225028	2.673661683	3.21434311
ALS2	ENSG00000003393.13	1.911303095	2.003141093	2.034144784
CASP10	ENSG00000003400.13	1.292555731	1.212807056	1.078614302
CFLAR	ENSG00000003402.18	2.624963002	2.408245477	2.162122351
TFPI	ENSG00000003436.13	1.2222877	1.415492186	1.116920302
NDUFAF7	ENSG00000003509.14	2.358522456	2.077817472	2.062632241
RBM5	ENSG00000003756.15	2.828670639	3.4876501	3.190708661
MTMR7	ENSG00000003987.12	0.490627508	0.472694907	0.547882285
SLC7A2	ENSG00000003989.15	1.182480248	4.4323484	4.401176886
ARF5	ENSG00000004059.9	6.413565633	6.155483988	6.147509435
SARM1	ENSG00000004139.12	0.478702621	0.716292931	0.727523933
POLDIP2	ENSG00000004142.10	5.737745499	5.742959053	5.986324118
PLXND1	ENSG00000004399.11	3.863060112	4.152255816	4.099183332
AK2	ENSG00000004455.15	4.862392908	4.356493404	4.375365941
CD38	ENSG00000004468.11	1.269659973	0.523013175	0.56708932
FKBP4	ENSG00000004478.7	5.722908256	6.021856153	6.51111328
KDM1A	ENSG00000004487.14	4.756418562	4.246447619	4.281830972
RBM6	ENSG00000004534.13	3.263948438	3.54839031	3.399641
CAMKK1	ENSG00000004660.13	1.273299754	1.561063729	1.335588228
RECQL	ENSG00000004700.14	3.175112197	2.946385459	3.017540961
CCDC132	ENSG00000004766.14	1.939220357	2.309641613	2.166698307
HSPB6	ENSG00000004776.10	1.756370325	2.846200976	1.891393452
ARHGAP33	ENSG00000004777.17	1.851784172	1.765592891	1.848691052
NDUFAB1	ENSG00000004779.8	5.131317915	4.996580207	5.24612852
PDK4	ENSG00000004799.7	2.202991114	3.691844146	2.732450655
SLC22A16	ENSG00000004809.12	0.274750517	0.040604876	0.039558068
ZMYND10	ENSG00000004838.12	0.488162112	2.468820088	2.24379019
ABCB5	ENSG00000004846.15	0.053466599	0.122394632	0.046349957
ARX	ENSG00000004848.6	0.148237799	0.317076166	0.402709348
SLC25A13	ENSG00000004864.12	3.527571779	2.769610882	3.001927343
ST7	ENSG00000004866.17	2.46638279	2.470576883	2.52634053
CDC27	ENSG00000004897.10	3.483054659	3.47007345	3.681567258
SLC4A1	ENSG00000004939.12	0.014143131	0.02241877	0.016921838
CALCR	ENSG00000004948.12	0.076911758	0.195826714	0.161398764
HCCS	ENSG00000004961.13	3.678523019	3.231879669	3.473385143
DVL2	ENSG00000004975.10	2.907088945	2.785932328	2.665245705
PRSS22	ENSG00000005001.8	2.461579201	2.747667063	2.51538117
UPF1	ENSG00000005007.11	4.139762664	4.153687418	4.088763363
SKAP2	ENSG00000005020.11	2.627876252	2.66625395	2.455404101
SLC25A5	ENSG00000005022.5	7.632137015	7.025691341	7.300181461
CCDC109B	ENSG00000005059.14	2.976281208	2.745166457	2.718727845
HOXA11	ENSG00000005073.5	0.645798801	0.3858001	0.342805348
POLR2J	ENSG00000005075.14	4.712707378	4.43647894	4.558677375
DHX33	ENSG00000005100.11	2.808947066	2.4464979	2.463225291
MEOX1	ENSG00000005102.11	1.116750418	1.778461075	0.987610727
THSD7A	ENSG00000005108.14	0.482719584	0.757406866	0.536016085
LIG3	ENSG00000005156.10	2.160482433	2.242851999	2.387724198
RPAP3	ENSG00000005175.8	2.7692603	2.908867352	3.117938954
ACSM3	ENSG00000005187.10	0.749602221	0.62844366	0.387233272
AC004381.6	ENSG00000005189.18	1.514364799	1.487561276	1.847514738
CIAPIN1	ENSG00000005194.13	3.945867401	3.384557037	3.602567439
SPPL2B	ENSG00000005206.15	2.586247187	2.827452084	2.69376824
FAM214B	ENSG00000005238.18	2.168304612	2.175045098	2.146117891
COPZ2	ENSG00000005243.8	2.678260491	3.421443404	2.943689718
PRKAR2B	ENSG00000005249.11	2.979267599	3.673108067	3.561815515
MSL3	ENSG00000005302.16	3.035475126	2.351034555	2.287098865
CREBBP	ENSG00000005339.11	3.080916199	3.502941084	3.406669554
BZRAP1	ENSG00000005379.14	1.328986931	1.682491953	1.48594124
MPO	ENSG00000005381.7	0.170118426	0.084364758	0.073250016
PON1	ENSG00000005421.7	0.206865151	0.177743354	0.167253387
GCFC2	ENSG00000005436.12	2.59513453	2.366215353	2.348437558
WDR54	ENSG00000005448.15	2.121441088	2.538021117	2.679372963
CROT	ENSG00000005469.10	1.55064121	3.135827696	2.814344838
ABCB4	ENSG00000005471.14	0.251645741	0.357555885	0.369558245
KMT2E	ENSG00000005483.18	3.314461919	3.620295948	3.507290413
RHBDD2	ENSG00000005486.15	5.115018695	5.512827267	5.430913772
SOX8	ENSG00000005513.9	1.921260961	0.341306299	0.183452247
IBTK	ENSG00000005700.13	2.818169988	3.312106774	3.441693998
ZNF195	ENSG00000005801.15	2.383413594	2.297958338	2.339381584
MYCBP2	ENSG00000005810.16	2.421089396	2.644251168	2.421851763
FBXL3	ENSG00000005812.9	2.875569697	3.640884513	3.304372445
ITGAL	ENSG00000005844.16	2.130733939	2.266258973	2.298882673
PDK2	ENSG00000005882.10	1.872136093	2.562544962	2.588032007
ITGA3	ENSG00000005884.16	2.470092997	3.687587468	3.220279299
ZFX	ENSG00000005889.14	2.549539298	2.992098173	3.09368957
LAMP2	ENSG00000005893.14	5.775730868	5.404845364	5.488333404
ITGA2B	ENSG00000005961.16	0.308031421	0.157093141	0.291723388
ASB4	ENSG00000005981.11	0.118237986	0.08040693	0.046666706
GDE1	ENSG00000006007.10	4.104283473	4.84764123	4.735887162
C19orf60	ENSG00000006015.16	2.694842704	2.490233486	2.392912654
CRLF1	ENSG00000006016.9	1.942590555	1.216446389	0.968326351
OSBPL7	ENSG00000006025.10	1.139388185	1.559105976	1.41232465
TMEM98	ENSG00000006042.10	2.948067214	3.468538378	3.033665081
YBX2	ENSG00000006047.11	1.378249544	1.007182432	1.56516609
KRT33A	ENSG00000006059.3	0.169752372	0.165555749	0.217289194
MAP3K14	ENSG00000006062.12	2.170922472	2.177123433	1.829522437
ABCC8	ENSG00000006071.10	0.076564384	1.593712437	1.257046779
CACNG3	ENSG00000006116.3	0.009611541	0.003526621	0.003303796
TMEM132A	ENSG00000006118.13	4.080979384	3.283862116	3.480722149
AP2B1	ENSG00000006125.15	4.972668248	5.804077085	5.9348397
TAC1	ENSG00000006128.10	0.085212932	0.592720087	0.191839894
ZNF263	ENSG00000006194.9	2.56546891	3.033640787	3.051888506
CX3CL1	ENSG00000006210.6	4.102038879	3.352218927	2.24297442
SPATA20	ENSG00000006282.18	2.501366548	3.824695567	3.843857345
CACNA1G	ENSG00000006283.16	0.124563688	0.313399417	0.129438651
TNFRSF12A	ENSG00000006327.12	4.876189147	4.502244731	4.172429356
DLX6	ENSG00000006377.10	0.76951164	0.038203969	0.031929839
MAP3K9	ENSG00000006432.14	1.239993309	1.243861589	1.257545386
RALA	ENSG00000006451.6	4.567822779	4.419449103	4.522536069
BAIAP2L1	ENSG00000006453.12	3.712048951	3.039505335	3.078509493
KDM7A	ENSG00000006459.9	2.381287043	2.316838003	2.195064864
ETV1	ENSG00000006468.12	1.024745291	1.319864313	1.089165856
AGK	ENSG00000006530.14	2.747941466	2.517784818	2.554078295
ALDH3B1	ENSG00000006534.14	1.764244745	1.661245492	1.670950109
TTC22	ENSG00000006555.9	2.219350979	1.394133387	1.025872763
PHTF2	ENSG00000006576.15	2.352251724	2.172955186	2.479512325
CCL26	ENSG00000006606.7	0.645502332	0.382518845	0.434186666
FARP2	ENSG00000006607.12	1.782696386	1.891792743	1.897735876
USH1C	ENSG00000006611.14	0.268281918	0.057522694	0.069640106
GGCT	ENSG00000006625.16	5.501663386	5.249718671	5.575022705
DBF4	ENSG00000006634.6	2.617149444	1.663845484	2.083451803
TBXA2R	ENSG00000006638.10	0.968277197	1.009654144	0.948226632
IFRD1	ENSG00000006652.12	3.37541538	2.111305395	2.084686901
LGALS14	ENSG00000006659.11	0.075786085	0.123556103	0.044110343
COX10	ENSG00000006695.9	2.720212865	2.462710735	2.468620979
GTF2IRD1	ENSG00000006704.9	2.728263941	2.761912589	2.868010393
PAF1	ENSG00000006712.13	4.815749658	5.038415621	4.984466787
VPS41	ENSG00000006715.14	2.929958446	3.215233266	3.338382788
ARHGAP44	ENSG00000006740.15	0.88983066	1.068479752	0.924897161
ELAC2	ENSG00000006744.17	3.620217171	3.518747731	3.441413863
SCIN	ENSG00000006747.13	0.53601862	0.882605407	1.001358753
ARSD	ENSG00000006756.14	3.349714044	4.458951189	4.178436548
PNPLA4	ENSG00000006757.10	2.214190114	3.535327155	3.405200669
MYH13	ENSG00000006788.11	0.113161803	0.139226517	0.104373332
ADIPOR2	ENSG00000006831.9	4.243235675	4.613299824	4.966419552
CDKL3	ENSG00000006837.10	0.321326281	0.456448924	0.484095649
UPP2	ENSG00000007001.11	0.117680321	0.123696501	0.090562506
PRSS21	ENSG00000007038.9	1.139029407	0.975062125	0.849752226
MARK4	ENSG00000007047.13	2.929814488	2.971323449	2.932337515
PROM1	ENSG00000007062.10	4.394093187	2.056628935	1.142050654
CCDC124	ENSG00000007080.9	4.997037795	4.612315833	4.563611449
CEACAM21	ENSG00000007129.16	0.789659925	0.740478557	0.686764871
PAFAH1B1	ENSG00000007168.11	4.141783981	4.20875384	4.136970606
NOS2	ENSG00000007171.15	0.398810114	0.24578944	0.239917534
DNAH9	ENSG00000007174.16	0.027994031	0.108090717	0.071400694
KIAA0100	ENSG00000007202.13	4.20454366	4.565852433	4.644146567
SLC13A2	ENSG00000007216.13	0.541544675	1.042073174	0.84195245
GAS7	ENSG00000007237.17	1.870027136	2.817992114	2.134049399
TRAPPC6A	ENSG00000007255.9	4.404288604	4.916632254	4.839892989
MATK	ENSG00000007264.12	1.191622849	0.862316629	0.728288411
CEACAM7	ENSG00000007306.13	0.139717792	0.27616593	0.321709941
CD79B	ENSG00000007312.11	2.112601193	1.647759236	1.107734761
SCN4A	ENSG00000007314.10	0.18971311	0.410177676	0.248109855
ST7L	ENSG00000007341.17	1.277596817	1.413239425	1.361896265
TKTL1	ENSG00000007350.15	0.118231398	0.029595409	0.028667581
PAX6	ENSG00000007372.19	0.55371371	0.243589542	0.235243478
RPUSD1	ENSG00000007376.6	3.539683416	3.400959927	3.509694426
RHBDF1	ENSG00000007384.14	3.191558967	3.732494059	3.558861785
LUC7L	ENSG00000007392.15	2.627028467	3.080106923	3.010118464
CACNA2D2	ENSG00000007402.10	0.504899564	2.085703854	2.168356125
BAIAP3	ENSG00000007516.12	0.571369182	2.007977432	2.029806994
TSR3	ENSG00000007520.3	4.926562772	5.076092522	5.014741683
PIGQ	ENSG00000007541.13	2.782949269	3.8438543	3.703223462
CRAMP1L	ENSG00000007545.14	1.910173924	2.195055153	2.125832319
TEAD3	ENSG00000007866.17	4.123004085	3.915076972	3.694935001
SELE	ENSG00000007908.14	1.462769951	1.450192557	1.067597114
DNAJC11	ENSG00000007923.14	2.986051248	2.766400779	2.795023997
FMO3	ENSG00000007933.11	1.162310848	0.815571133	0.716797358
MYLIP	ENSG00000007944.13	3.286158645	4.194608889	4.1433803
NOX1	ENSG00000007952.16	0.494926924	0.501989863	0.661487569
E2F2	ENSG00000007968.6	2.192376071	0.746040712	1.405028034
PSMB1	ENSG00000008018.8	6.149600675	5.803573905	5.989573368
SYN1	ENSG00000008056.11	0.635245711	0.63191482	0.780889346
JARID2	ENSG00000008083.12	3.175920856	2.999596268	3.032837885
CDKL5	ENSG00000008086.9	1.328067333	1.290464376	1.195115532
CAMK1G	ENSG00000008118.8	0.275411797	0.11797068	0.196180849
CDK11A	ENSG00000008128.21	1.070945837	1.087563621	0.990507874
NADK	ENSG00000008130.14	3.521724923	3.523124146	3.47641703
TFAP2B	ENSG00000008196.11	0.725857113	3.614995568	1.984820938
TFAP2D	ENSG00000008197.4	0.03322291	0.002204455	0.000739469
DLEC1	ENSG00000008226.18	0.200268058	0.275252004	0.174420591
CYTH3	ENSG00000008256.14	3.035615863	3.135272345	2.73318418
ADAM22	ENSG00000008277.13	0.585136354	0.942492438	0.803746709
SYPL1	ENSG00000008282.6	5.505477791	5.828412807	5.65193794
CYB561	ENSG00000008283.14	4.646357935	4.981592105	5.382014262
SPAG9	ENSG00000008294.19	3.117670337	3.037570665	3.167424004
CELSR3	ENSG00000008300.13	0.787827884	0.742032586	1.099712616
AASS	ENSG00000008311.13	0.890170671	1.432093959	0.983368502
PLEKHG6	ENSG00000008323.14	2.636617994	1.933322767	1.841885441
SS18L2	ENSG00000008324.9	3.800939369	3.714095841	3.749482875
MPND	ENSG00000008382.14	3.079385003	3.350621423	3.294981805
MGST1	ENSG00000008394.11	4.438699163	3.95804682	3.968071196
CRY1	ENSG00000008405.10	2.57769088	2.743241725	2.626554938
PGLYRP1	ENSG00000008438.4	0.120090364	0.100765799	0.075124157
NFIX	ENSG00000008441.15	5.058649983	4.52124153	3.940302524
ST3GAL1	ENSG00000008513.13	3.414098499	3.598572933	3.96199432
MMP25	ENSG00000008516.15	1.062895237	1.018319377	1.003695013
IL32	ENSG00000008517.15	4.333421288	3.215779472	3.100617132
PKD1	ENSG00000008710.16	2.014706037	2.346022727	2.0722909
MAPK8IP2	ENSG00000008735.13	1.87134213	2.180997638	2.630249244
MED24	ENSG00000008838.16	3.633733576	3.713342767	3.915370779
RHOBTB2	ENSG00000008853.15	1.642533249	2.374710141	2.026837329
HEATR5B	ENSG00000008869.10	2.619998403	2.974377685	2.940947108
SEC62	ENSG00000008952.15	4.189304856	4.636508812	4.632906127
RPS20	ENSG00000008988.8	8.273116525	7.789520761	7.673353658
CSDE1	ENSG00000009307.14	6.986301082	6.821829695	6.699098416
UBE3C	ENSG00000009335.16	3.82637086	3.625102822	3.741881913
REV3L	ENSG00000009413.14	1.865791233	1.731007723	1.676590842
TENM1	ENSG00000009694.12	0.194863059	0.111298907	0.083593356
PAX7	ENSG00000009709.10	0.19100818	0.141700125	0.238999703
MASP2	ENSG00000009724.15	0.2555008	0.406522395	0.313351018
IYD	ENSG00000009765.13	0.068373617	0.188325595	0.304295829
FAM76A	ENSG00000009780.14	2.3284084	2.230796189	2.166591881
TRAF3IP3	ENSG00000009790.13	1.435019779	0.899801821	0.819422744
POMT2	ENSG00000009830.10	1.613214326	2.01861565	1.871772501
VTA1	ENSG00000009844.14	3.168308807	2.925280843	3.120309684
MLXIPL	ENSG00000009950.14	0.382257263	0.709976435	0.539795267
BAZ1B	ENSG00000009954.9	4.637705926	4.323777608	4.521037025
RANBP9	ENSG00000010017.12	4.432276177	4.293057374	4.61537818
ETV7	ENSG00000010030.12	2.400720517	1.385694858	1.565733792
SPRTN	ENSG00000010072.14	2.10695008	1.834443981	1.98539938
METTL13	ENSG00000010165.18	4.117168924	3.991022594	3.967907335
DYRK4	ENSG00000010219.12	2.078530724	1.739324098	1.691476218
ZNF207	ENSG00000010244.15	3.413856581	3.374156389	3.480247441
UQCRC1	ENSG00000010256.9	5.518899949	5.414072031	5.457420663
STARD3NL	ENSG00000010270.12	2.824376776	2.914703684	3.026083206
CD9	ENSG00000010278.10	6.66799669	6.888272223	6.915636772
HHATL	ENSG00000010282.13	0.044978215	0.076899933	0.047691014
NCAPD2	ENSG00000010292.11	4.761520651	3.430090712	3.841511917
IFFO1	ENSG00000010295.18	1.409394271	1.647635949	1.355650502
GIPR	ENSG00000010310.7	0.226981819	0.880924298	0.766489879
PHF7	ENSG00000010318.18	0.993204416	1.500038357	1.377429805
SEMA3G	ENSG00000010319.5	1.611656904	2.925605065	2.209862731
NISCH	ENSG00000010322.14	3.103931332	3.806401612	3.403393501
STAB1	ENSG00000010327.9	2.538216498	2.677224699	2.340486017
FUZ	ENSG00000010361.12	2.386601291	3.145747282	2.941510333
SLC6A13	ENSG00000010379.14	0.032935135	0.024813851	0.031162353
IDS	ENSG00000010404.16	3.361077103	3.832395862	3.769939504
PRSS3	ENSG00000010438.15	0.787683059	0.116840753	0.086975161
ZNF200	ENSG00000010539.10	1.435509711	1.408788007	1.505200251
CD4	ENSG00000010610.8	3.869913139	3.636749251	3.573737519
LRRC23	ENSG00000010626.13	1.784730605	2.223958626	2.285859986
BTK	ENSG00000010671.14	1.629199698	1.509819816	1.435623904
HFE	ENSG00000010704.17	1.693365152	2.184649794	1.990173017
SCMH1	ENSG00000010803.15	3.711305482	3.566199171	3.375471129
FYN	ENSG00000010810.16	2.693630352	2.349978782	2.066260975
HIVEP2	ENSG00000010818.7	2.416936418	2.126033692	2.089714154
FMO1	ENSG00000010932.14	1.519074996	1.380179692	1.245713643
TCEB3	ENSG00000011007.11	3.770760184	3.521312654	3.614200053
LYPLA2	ENSG00000011009.9	5.089620611	4.956186796	4.831126059
CLCN6	ENSG00000011021.20	1.552815735	1.961744897	1.682768646
MRC2	ENSG00000011028.12	4.25575489	4.611869104	3.967176635
NME2	ENSG00000011052.20	0.696666295	0.675952233	0.88256913
SLC6A7	ENSG00000011083.7	0.086135247	0.044756237	0.044533442
TSPAN9	ENSG00000011105.10	3.548665785	4.367339952	3.980100542
BTBD7	ENSG00000011114.13	2.000633972	2.409677148	2.2399889
APBA3	ENSG00000011132.10	1.87755205	1.860396757	1.665810136
MKS1	ENSG00000011143.15	2.169681699	2.537969321	2.659087357
ABHD5	ENSG00000011198.6	2.939284849	2.859936816	2.994113124
KAL1	ENSG00000011201.9	1.330825118	2.297629957	2.234646778
AKAP8L	ENSG00000011243.16	3.256204623	3.414761564	3.372597173
MBTD1	ENSG00000011258.14	2.366156724	2.379434654	2.531597607
UTP18	ENSG00000011260.12	4.049662341	3.900535151	4.201441643
RNF216	ENSG00000011275.17	3.292729369	3.232931994	3.10920529
TTC19	ENSG00000011295.14	3.231407581	3.542440698	3.428186844
PTBP1	ENSG00000011304.15	5.461302339	5.352151461	5.449903322
DPF1	ENSG00000011332.18	0.283563934	0.177904863	0.226233634
SYT7	ENSG00000011347.8	3.453309932	4.077623284	4.120769144
LARS2	ENSG00000011376.8	2.481847415	2.603453682	2.649475506
PIK3C2A	ENSG00000011405.12	2.825295782	3.224191248	3.216651883
PLAUR	ENSG00000011422.10	3.812996479	2.82922605	2.860303488
ANLN	ENSG00000011426.9	3.891205855	1.777068944	2.838394772
WIZ	ENSG00000011451.16	3.481400152	3.29564874	3.27312237
RABGAP1	ENSG00000011454.15	3.178037226	3.302662883	3.305368916
DCN	ENSG00000011465.15	4.313304684	5.781313869	4.991922731
QPCTL	ENSG00000011478.10	2.955809884	2.818104492	2.701133693
PPP5C	ENSG00000011485.13	3.311374491	3.104101571	3.263090825
CEP68	ENSG00000011523.12	2.164772336	2.556555807	2.355414457
MAP4K3	ENSG00000011566.13	2.743871505	3.065906595	3.128129735
ZBTB32	ENSG00000011590.12	0.574915109	0.316258516	0.307147097
TYROBP	ENSG00000011600.10	5.573624661	5.474857455	5.365654983
TMEM159	ENSG00000011638.9	4.313852956	4.300285595	4.085674937
GABRA3	ENSG00000011677.11	0.417918489	0.034373222	0.155312214
BRCA1	ENSG00000012048.18	1.583380399	1.332785712	1.939507222
ERCC1	ENSG00000012061.14	3.484979266	3.652955875	3.423103898
CD22	ENSG00000012124.13	0.862885926	1.345990203	1.286826225
SEMA3B	ENSG00000012171.16	1.126497497	2.917915155	2.580227972
MBTPS2	ENSG00000012174.10	1.968056972	2.225758684	2.410024378
PRICKLE3	ENSG00000012211.11	2.10148047	2.034322863	2.101168717
LTF	ENSG00000012223.11	5.215929694	6.010168755	4.002550171
EXTL3	ENSG00000012232.7	2.396130314	2.17048862	1.887360413
NR1H4	ENSG00000012504.12	0.025130312	0.004304956	0.004333163
ELOVL5	ENSG00000012660.12	4.7984313	6.757477455	6.528337058
ALOX5	ENSG00000012779.9	2.673859325	2.958705478	2.42358301
KDM5D	ENSG00000012817.14	0.002371353	0.001876338	0.052772262
CALCOCO1	ENSG00000012822.14	2.714205084	3.601726986	3.186658869
UBR7	ENSG00000012963.12	3.683874294	4.223614491	4.336407546
MAP4K5	ENSG00000012983.10	2.989432508	3.012773284	2.962325286
EHD3	ENSG00000013016.13	2.071105046	2.42773091	2.171886381
PSMC4	ENSG00000013275.6	5.519981243	5.080916621	5.34628304
MAN2B2	ENSG00000013288.7	2.61652494	3.6212842	3.4902775
SLC7A14	ENSG00000013293.5	0.020796434	0.014461329	0.006328566
CLDN11	ENSG00000013297.9	0.901973557	1.631940217	0.771059912
SLC25A39	ENSG00000013306.14	5.518124363	5.226132261	5.501888748
MVP	ENSG00000013364.17	4.259359518	5.161271552	4.874947783
NUB1	ENSG00000013374.14	4.203387425	4.077468442	4.04254239
PGM3	ENSG00000013375.14	3.048849178	2.812688827	2.966753433
RWDD2A	ENSG00000013392.7	1.590210592	1.834648975	1.863094479
CLK1	ENSG00000013441.14	3.55939014	4.13741727	3.874025589
POLR3B	ENSG00000013503.8	2.080924718	2.045526971	2.078079791
ANGEL1	ENSG00000013523.8	2.242593016	2.562296594	2.465128051
RNF14	ENSG00000013561.16	3.439854645	3.960813812	4.122527308
DNASE1L1	ENSG00000013563.12	2.441050461	2.603379606	2.606461422
DDX11	ENSG00000013573.15	2.297983747	1.607253415	1.850258079
HEBP1	ENSG00000013583.7	3.801889739	4.490002574	4.770681387
GPRC5A	ENSG00000013588.5	3.520342743	5.034360496	5.408031645
MAMLD1	ENSG00000013619.12	1.661161456	0.895610954	0.734742246
CD6	ENSG00000013725.13	1.651122039	1.243637296	1.053808051
TACC3	ENSG00000013810.17	3.541647529	2.209854367	3.04771129
UFL1	ENSG00000014123.9	3.357795421	3.626823096	3.644999071
POLA2	ENSG00000014138.7	2.701416113	2.133253377	2.490551942
ZC3H3	ENSG00000014164.6	3.547974959	3.289535365	3.429015271
CAPN1	ENSG00000014216.14	5.006122612	4.900043186	4.805780253
ACPP	ENSG00000014257.14	0.424498895	0.541982469	0.542913423
MDH1	ENSG00000014641.16	5.091459518	4.529569939	4.6679287
SLC30A9	ENSG00000014824.12	3.375696221	3.680631922	3.818130471
MTMR11	ENSG00000014914.18	2.274182351	2.325853142	2.150625545
COX15	ENSG00000014919.11	3.290426361	3.628885815	3.679697075
CCDC88C	ENSG00000015133.17	2.208698755	2.725839359	2.764786721
YAF2	ENSG00000015153.13	1.200963118	1.269686412	1.338193534
ZMYND11	ENSG00000015171.17	4.550159254	4.83667023	4.740970378
WAS	ENSG00000015285.9	2.602274291	2.336374405	2.140502373
DPEP1	ENSG00000015413.8	0.492849218	0.760773943	0.512863903
BID	ENSG00000015475.17	3.220352063	2.569799562	2.597892096
MATR3	ENSG00000015479.16	0.496635221	0.727612764	0.70348135
NPC1L1	ENSG00000015520.13	0.099002822	0.293794415	0.458747847
XYLT2	ENSG00000015532.8	2.608363612	3.29867076	3.316650634
RGPD5	ENSG00000015568.11	0.001575892	0.001749262	0.00162219
STMN4	ENSG00000015592.15	0.06081666	0.092117178	0.096679597
NUDCD3	ENSG00000015676.16	3.429247334	3.794168843	3.756673015
ISL1	ENSG00000016082.13	0.126706546	0.07136892	0.044783745
CHDH	ENSG00000016391.9	2.218439711	2.816123916	2.540108432
IL20RA	ENSG00000016402.11	1.015535634	2.599121848	1.980357712
CLCA1	ENSG00000016490.14	0.008411604	0.003560645	0.005485118
CLCA4	ENSG00000016602.9	0.242683924	0.190160502	0.042499197
GLT8D1	ENSG00000016864.15	3.640556614	4.186893664	4.078382284
ATP2C1	ENSG00000017260.18	4.451080366	4.014944266	4.084871036
IGF1	ENSG00000017427.14	0.302755986	0.640561299	0.312288603
SLC38A5	ENSG00000017483.13	1.734651066	1.428516924	1.341206898
RALBP1	ENSG00000017797.10	4.519267765	4.265091534	4.272076682
RUFY3	ENSG00000018189.11	2.28381457	2.391965637	2.299579292
CNTN1	ENSG00000018236.13	0.940270827	1.573116271	1.062804194
SLC11A1	ENSG00000018280.15	1.116449703	0.692703935	0.801477296
WWTR1	ENSG00000018408.13	4.003726579	3.425219647	2.861092718
AGPS	ENSG00000018510.11	2.706775452	2.827268066	2.893455971
ZNF806	ENSG00000018607.6	0.018100399	0.010611711	0.007999046
CXorf56	ENSG00000018610.12	3.651411676	3.442607652	3.545733751
ATP1A2	ENSG00000018625.13	0.175935676	0.812888082	0.510019038
TTC27	ENSG00000018699.10	3.349736609	3.098477063	3.177239361
ZNF582	ENSG00000018869.15	0.749413565	1.261700028	1.012917137
VSIG2	ENSG00000019102.10	0.949254113	2.025128855	1.066696416
PHLDB1	ENSG00000019144.15	1.903774343	2.405606444	1.98223311
MARCO	ENSG00000019169.10	2.600862025	0.58525407	0.737784532
CYP24A1	ENSG00000019186.8	0.58869935	0.275066643	0.275564446
PRDM11	ENSG00000019485.11	0.851720066	0.89945475	0.738641508
SYT13	ENSG00000019505.6	1.189357404	1.97036827	2.836038106
SNAI2	ENSG00000019549.7	3.357597612	3.424465681	2.8819288
CD74	ENSG00000019582.13	8.952333885	9.023735959	8.773502251
HGF	ENSG00000019991.14	0.527123682	0.963446601	0.671054993
ZRANB1	ENSG00000019995.6	2.259026745	2.288941842	2.251414841
NCDN	ENSG00000020129.14	3.255969742	3.68545486	3.50632564
GPR124	ENSG00000020181.16	2.137745186	2.901519632	2.273170993
CCT8L1P	ENSG00000020219.9	0.023061798	0.014625519	0.01216584
ZFP64	ENSG00000020256.18	2.23582607	2.06305497	2.203279185
MNAT1	ENSG00000020426.9	2.222484736	2.505314639	2.723661739
